num_author,name_author,field,continent,university,h_index,h_rank,i10_index,i10_rank,Euclidean_index,Euclidean_rank,Total_Citation,Total_Citation_rank,Total_Publication,Total_Publication_rank,ABC,ABC_rank,ABC_A,ABC_A_rank,DBC,DBC_rank,CRBC,CRBC_rank,CEBC,CEBC_rank,TCEBC,TCEBC_rank,ACES,ACES_rank,ABC+CES,ABC+CES_rank,ABC*CES,ABC*CES_rank
4584,Alan Griffith,multiple-field,North America,Washington,3,3600,1,3809,11.74734012447073,4043,22.0,3954,6,3475,0,3283,3,2072,3.0,3545,0,3203,1,3860,1.5,3437,5.873670062235365,4061,11.74734012447073,3970,12.74734012447073,4014
4585,Rachel Heath,labor,North America,Washington,10,1802,11,1709,275.6755339162328,1476,731.0,1520,15,2273,1,1576,10,906,8.0,2304,1,1424,11,1737,7.5,1649,180.988970140964,1660,272.977940281928,1306,545.955880563856,1287
4586,Jason Kerwin,multiple-field,North America,Washington,6,2677,3,3094,40.27406113120453,3330,98.0,3139,11,2737,1,1576,5,1568,6.0,2731,1,1424,3,3149,3.0,2752,31.22238278674109,3103,39.44476557348217,3230,78.88953114696434,2837
4587,Fahad Khalil,micro_theory,North America,Washington,12,1477,12,1604,214.48776188864483,1727,645.0,1628,20,1840,0,3283,15,589,10.0,1962,0,3203,12,1632,8.0,1567,107.2438809443224,2067,214.48776188864483,1532,215.48776188864483,1979
4588,Chang-Jin Kim,multiple-field,North America,Washington,22,617,34,548,1073.9404080301665,460,3158.0,531,50,671,0,3283,24,285,25.0,750,0,3203,34,558,19.5,610,536.9702040150831,1055,1073.9404080301665,342,1074.9404080301665,914
4589,Melissa Knox,p_finance,North America,Washington,7,2425,5,2603,40.162171256046406,3331,121.0,2994,18,1994,0,3283,0,3965,9.0,2114,0,3203,5,2654,2.5,2945,20.081085628023203,3421,40.162171256046406,3215,41.162171256046406,3359
4590,Jacques Lawarrée,multiple-field,North America,Washington,14,1239,17,1215,436.16854540418205,1050,1389.0,1007,36,1023,0,3283,11,832,18.0,1148,0,3203,17,1241,11.0,1189,218.08427270209103,1521,436.16854540418205,851,437.16854540418205,1425
4591,Yuya Takahashi,multiple-field,North America,Washington,3,3600,3,3094,43.81780460041329,3255,76.0,3301,5,3656,1,1576,4,1786,3.0,3545,1,1424,3,3149,3.0,2752,44.2554339267374,2809,35.51086785347479,3311,71.02173570694958,2930
4592,Xu Tan,micro_theory,North America,Washington,7,2425,5,2603,242.88268773216424,1614,374.0,2080,13,2492,1,1576,8,1097,7.0,2517,1,1424,5,2654,4.5,2297,267.2892111311998,1410,69.57842226239971,2705,139.15684452479942,2338
4593,Stephen Turnovsky,macro,North America,Washington,40,151,118,53,554.3112843881134,843,5017.0,347,223,31,6,525,56,36,114.5,31,4,656,120,53,69.5,46,962.8798379841168,861,557.094365785026,673,3864.660560495182,463
4594,Quan Wen,micro_theory,North America,Washington,10,1802,11,1709,86.85044617041412,2636,345.0,2151,43,813,1,1576,11,832,22.0,892,1,1424,11,1737,10.0,1294,73.16839553678986,2390,81.33679107357973,2542,162.67358214715946,2224
4595,Kar-Yiu Wong,i_trade,North America,Washington,14,1239,21,998,125.1878588362306,2271,526.0,1779,48,712,0,3283,4,1786,24.0,802,0,3203,21,1017,11.0,1189,62.5939294181153,2512,125.1878588362306,2093,126.1878588362306,2430
4596,Eric Zivot,econometrics,North America,Washington,21,669,27,733,4178.83799638129,75,7229.0,223,35,1061,1,1576,12,763,18.0,1148,1,1424,27,755,14.5,901,2173.986716089885,613,4178.97343217977,47,8357.94686435954,282
4597,Robert Halvorsen,multiple-field,North America,Washington,8,2197,8,2100,395.67284465831113,1132,761.0,1481,20,1840,1,1576,4,1786,10.5,1890,1,1424,8,2146,4.5,2297,231.1046676261118,1486,395.2093352522236,922,790.4186705044472,1073
4598,Richard Hartman,micro_theory,North America,Washington,7,2425,6,2423,667.5013108601361,724,1072.0,1223,12,2609,3,924,5,1568,7.5,2418,1,1424,8,2146,6.0,1923,392.1707046313074,1208,670.2877939839751,558,2673.1511759359005,570
4599,Levis Kochin,multiple-field,North America,Washington,7,2425,6,2423,55.27205442174191,3049,145.0,2861,9,3018,0,3283,1,2917,4.5,3116,0,3203,6,2464,3.0,2752,27.63602721087096,3187,55.27205442174191,2913,56.27205442174191,3107
4600,Shelly Lundberg,labor,North America,Washington,25,490,33,565,1230.535249393531,384,4301.0,405,45,770,2,1169,12,763,23.5,827,1,1424,34,558,18.5,651,1049.2436667762668,834,1178.068450388837,310,3531.205351166511,491
4601,Charles Nelson,multiple-field,North America,Washington,28,386,44,375,3374.521743892014,106,8065.0,195,51,654,1,1576,29,197,26.0,718,1,1424,44,387,23.5,479,1915.268620868339,658,3367.537241736678,71,6735.074483473356,320
4602,Richard W. Parks,multiple-field,North America,Washington,8,2197,7,2254,714.6194791635616,673,875.0,1375,13,2492,0,3283,3,2072,6.5,2616,0,3203,7,2299,4.0,2445,357.3097395817808,1252,714.6194791635616,521,715.6194791635616,1126
4603,Elaina Rose,labor,North America,Washington,11,1625,11,1709,506.0118575685752,913,1318.0,1050,12,2609,0,3283,4,1786,6.0,2731,0,3203,11,1737,5.5,2026,253.0059287842876,1433,506.0118575685752,739,507.0118575685752,1324
4604,Eugene Silberberg,multiple-field,North America,Washington,6,2677,4,2824,163.00613485387598,2018,321.0,2212,14,2384,1,1576,4,1786,7.5,2418,0,3203,5,2654,3.0,2752,81.50306742693799,2311,164.00613485387598,1821,328.01226970775195,1651
4605,Richard Startz,multiple-field,North America,Washington,19,797,26,777,698.0916845228855,693,2080.0,746,55,582,1,1576,21,355,28.0,646,1,1424,26,797,17.0,742,427.688260545407,1171,694.376521090814,542,1388.753042181628,801
4606,Judith Thornton,history,North America,Washington,3,3600,0,4385,8.18535277187245,4165,17.0,4044,7,3309,0,3283,0,3965,3.5,3382,0,3203,0,4408,0.0,4504,4.092676385936225,4182,8.18535277187245,4108,9.18535277187245,4141
4607,Gardner Brown,multiple-field,North America,Washington,16,1038,20,1048,383.7460097512416,1162,1403.0,998,43,813,1,1576,3,2072,22.0,892,0,3203,21,1017,11.0,1189,191.8730048756208,1620,384.7460097512416,955,769.4920195024831,1084
4608,Neil Bruce,p_finance,North America,Washington,10,1802,10,1828,198.22462006521792,1814,471.0,1885,16,2168,2,1169,8,1097,9.0,2114,2,1039,10,1859,6.5,1818,332.4352239824191,1294,147.4750837772572,1931,439.4252513317716,1419
4609,James A. Crutchfield,p_finance,North America,Washington,1,4388,1,3809,25.0,3651,25.0,3909,2,4322,0,3283,0,3965,1.0,4350,0,3203,1,3860,0.5,4086,12.5,3700,25.0,3545,26.0,3642
4610,Greg Ellis,micro_theory,North America,Washington,4,3256,4,2824,49.29503017546495,3152,94.0,3169,4,3855,1,1576,1,2917,2.5,3719,1,1424,4,2882,2.5,2945,51.84656829757475,2673,36.6931365951495,3286,73.386273190299,2895
4611,Michael Hadjimichalakis,macro,North America,Washington,3,3600,1,3809,21.817424229271428,3742,30.0,3824,7,3309,2,1169,2,2431,4.5,3116,1,1424,2,3459,2.0,3174,48.075040362003385,2739,5.16227766016838,4259,12.48683298050514,4020
4612,Feng-Hwa Mah,multiple-field,North America,Washington,4,3256,1,3809,16.61324772583615,3903,32.0,3798,5,3656,0,3283,0,3965,2.5,3719,0,3203,1,3860,0.5,4086,8.306623862918075,3933,16.61324772583615,3815,17.61324772583615,3881
4613,Morris D. Morris,history,North America,Washington,9,1992,9,1961,121.33836985883732,2313,317.0,2228,16,2168,0,3283,0,3965,8.0,2304,0,3203,9,2003,4.5,2297,60.669184929418655,2547,121.33836985883732,2132,122.33836985883732,2464
4614,Douglass C. North,history,North America,Washington,30,323,40,441,5669.954673540168,41,16638.0,68,72,385,2,1169,5,1568,37.0,418,2,1039,40,448,21.5,536,5154.050597568989,427,5311.184965698596,24,15930.554897095788,155
4615,Miguel Acosta,macro,North America,WISC,2,3967,0,4385,6.4031242374328485,4247,9.0,4234,2,4322,0,3283,0,3965,1.0,4350,0,3203,0,4408,0.0,4504,3.2015621187164243,4260,6.4031242374328485,4198,7.403124237432848,4218
4616,Naoki Aizawa,multiple-field,North America,WISC,3,3600,3,3094,31.85906464414798,3497,53.0,3520,7,3309,4,749,5,1568,5.5,2853,2,1039,5,2654,5.0,2147,88.25599406673707,2238,14.04987562112089,3900,55.24937810560445,3127
4617,Simeon Alder,multiple-field,North America,WISC,2,3967,0,4385,12.727922061357855,4013,18.0,4028,3,4085,1,1576,1,2917,2.0,3907,0,3203,1,3860,1.0,3730,13.5,3662,10.0,4036,20.0,3814
4618,Panle Barwick,multiple-field,North America,WISC,14,1239,15,1353,446.5489894737195,1026,1234.0,1098,21,1766,9,329,11,832,15.0,1386,7,384,17,1241,13.5,969,4613.637205758048,451,225.395471301966,1489,2173.95471301966,633
4619,Job Boerma,labor,North America,WISC,3,3600,2,3404,20.248456731316587,3787,36.0,3736,4,3855,2,1169,2,2431,3.0,3545,1,1424,3,3149,2.5,2945,34.681263173640176,3007,15.45362404707371,3861,43.36087214122113,3326
4620,Carter Braxton,labor,North America,WISC,2,3967,1,3809,40.11234224026316,3333,43.0,3658,4,3855,3,924,3,2072,3.5,3382,1,1424,3,3149,3.0,2752,64.90890230020666,2485,3.0,4407,4.0,4412
4621,Stella Chan,i_finance,North America,WISC,1,4388,0,4385,5.0,4330,5.0,4375,2,4322,0,3283,0,3965,1.0,4350,0,3203,0,4408,0.0,4504,2.5,4337,5.0,4288,6.0,4300
4622,Harold Chiang,econometrics,North America,WISC,4,3256,3,3094,45.28796749689701,3216,83.0,3240,10,2874,0,3283,5,1568,5.0,2983,0,3203,3,3149,2.5,2945,22.643983748448505,3329,45.28796749689701,3089,46.28796749689701,3261
4623,Menzie Chinn,i_finance,North America,WISC,38,176,69,158,2007.0650213682663,210,7392.0,215,118,132,0,3283,6,1392,59.0,163,0,3203,69,166,35.0,228,1003.5325106841332,852,2007.0650213682663,138,2008.0650213682663,663
4624,Dean Corbae,multiple-field,North America,WISC,17,948,23,906,308.162294903189,1361,1062.0,1235,38,953,9,329,19,415,23.5,827,8,320,24,876,18.5,651,4138.697394712775,476,142.68619973654722,1969,1346.8619973654722,813
4625,Louphou Coulibaly,i_finance,North America,WISC,2,3967,1,3809,12.16552506059644,4024,14.0,4102,3,4085,0,3283,2,2431,1.5,4125,0,3203,1,3860,1.5,3437,6.082762530298219,4042,12.16552506059644,3949,13.16552506059644,3996
4626,Lydia Cox,macro,North America,WISC,1,4388,0,4385,8.0,4180,8.0,4272,1,4577,1,1576,1,2917,1.0,4350,0,3203,1,3860,1.0,3730,8.000000000000002,3946,1.0,4561,2.0,4561
4627,Raymond Deneckere,micro_theory,North America,WISC,21,669,22,952,427.4353752323268,1067,1677.0,869,30,1275,9,329,17,493,19.5,1041,8,320,23,925,17.0,742,3968.406148451838,487,379.1783354006552,970,3711.783354006552,476
4628,Gwen Eudey,macro,North America,WISC,1,4388,1,3809,20.0,3796,20.0,3989,1,4577,0,3283,0,3965,0.5,4588,0,3203,1,3860,0.5,4086,10.0,3830,20.0,3699,21.0,3778
4629,Chao Fu,labor,North America,WISC,9,1992,9,1961,99.55902771722914,2508,278.0,2332,13,2492,6,525,10,906,9.5,2035,6,456,9,2003,9.0,1418,1151.4099525842116,796,41.02855977627399,3196,252.1999184339179,1865
4630,Rebecca Glawtschew,labor,North America,WISC,0,4667,0,4385,0.0,4667,0.0,4667,1,4577,0,3283,0,3965,0.5,4588,0,3203,0,4408,0.0,4504,0.0,4667,0.0,4669,1.0,4669
4631,Jesse Gregory,labor,North America,WISC,6,2677,6,2423,394.32854322252655,1138,577.0,1711,7,3309,3,924,3,2072,5.0,2983,3,816,6,2464,4.5,2297,876.1345561800323,890,103.72735477515528,2295,406.9094191006212,1479
4632,Agustin Gutierrez,finance,North America,WISC,0,4667,0,4385,0.0,4667,0.0,4667,1,4577,0,3283,0,3965,0.5,4588,0,3203,0,4408,0.0,4504,0.0,4667,0.0,4669,1.0,4669
4633,Bruce Hansen,econometrics,North America,WISC,40,151,55,243,6202.8307247578505,35,21811.0,38,74,360,9,329,34,148,41.5,325,8,320,56,241,33.5,251,44986.878457079896,103,4610.597983309711,34,46025.97983309711,64
4634,Korinna Hansen,p_finance,North America,WISC,1,4388,1,3809,17.0,3891,17.0,4044,1,4577,0,3283,1,2917,0.5,4588,0,3203,1,3860,0.5,4086,8.5,3921,17.0,3801,18.0,3868
4635,Kenneth Hendricks,i_organization,North America,WISC,14,1239,14,1430,241.5367466867102,1620,800.0,1435,21,1766,5,627,8,1097,13.0,1571,5,545,14,1453,10.0,1294,2173.624528254072,614,134.23621783385647,2020,781.4173070031388,1077
4636,Jean-Francois Houde,i_organization,North America,WISC,10,1802,10,1828,210.6561178793533,1746,596.0,1690,19,1915,6,525,11,832,12.5,1623,4,656,12,1632,10.0,1294,1335.092190206554,749,125.17214439624723,2094,841.2050107737307,1033
4637,David Johnson,other,North America,WISC,1,4388,0,4385,1.0,4570,1.0,4570,1,4577,0,3283,0,3965,0.5,4588,0,3203,0,4408,0.0,4504,0.5,4572,1.0,4561,2.0,4561
4638,Karam Kang,i_organization,North America,WISC,4,3256,4,2824,113.72774507568502,2373,176.0,2724,5,3656,4,749,4,1786,4.5,3116,3,816,5,2654,4.5,2297,498.7660431650429,1093,17.0,3801,70.0,2939
